text,sentiment
ٹک ٹاک میں ویڈیو شیئر کرنے کا آپشن استعمال کیا,neutral
"Bykea ka rider bohot ajeeb routes se le ke gaya, waqt barbad ho gaya",negative
FoodPanda par order ka status preparing food show ho raha hai,neutral
جاز کیش کی نوٹیفکیشن کچھ دیر سے آئی ہے,neutral
بائیکیا پر ڈرائیور کی रेटिंग اچھی تھی,neutral
جاز کیش ایپ میں اکاؤنٹ کا بیلنس صفر تھا,neutral
LG TV remote app connection establish nahi hota frequently,negative
JazzCash se bus ticket ka option available hai,neutral
TikTok me profile edit option easy milta hai,neutral
WeChat payment feature region specific available hai,neutral
Safari reading list articles offline available hain,neutral
"JazzCash ka account block ho gaya hai, helpline pe koi jawab nahi mil raha",negative
Adobe Creative Cloud trial limitations frustrating hain professional use ke liye,negative
MailerLite signup form design customize karne ka option hai,neutral
"FoodPanda ka customer support bilkul bekar hai, koi help nahi mili",negative
Bykea mein helmet pehenna zaroori hai,neutral
IMO app crashes frequently video calling ke time pe,negative
جیس کیش ایپ میں لاگ ان کا طریقہ آسان ہے,neutral
YouTube par subscribers ka count dekh sakte hain,neutral
Outlook calendar event reminder notification set kia,neutral
JazzCash se mobile load bhi ho jata hai,neutral
Slack notifications overwhelming hain productivity disturb karte hain,negative
ایس این جی پی ایل کا بل آن لائن ادا کیا گیا,neutral
Daraz se koi cheez mangwao to pata chalta hai k woh out of stock hai,negative
کریم کا کارپوریٹ اکاؤنٹ لاگ ان کیا گیا,neutral
فوڈ پانڈا نے کھانا ڈیلیور کرتے وقت کچھ آئٹمز غائب تھے,negative
Careem ka app interface purana sa hai,neutral
ایزی پیسہ میں ایمرجنسی بیلنس کی سہولت دستیاب ہے,neutral
او ایل ایکس پر ایک پرانی گھڑی کا اشتہار لگا ہوا تھا,neutral
یوٹیوب پر ایک چینل کو بلاک کیا گیا ہے,neutral
"FoodPanda ne mera order cancel kr diya, refund abhi tak nahi mila",negative
سوئی گیس کا بل آن لائن دیکھنے کا طریقہ آسان ہے,neutral
InDrive mein driver ka wait karna par sakta hai,neutral
OLX par used items zyada hain,neutral
پاکستان پوسٹ کی ٹریکنگ سروس درست معلومات فراہم نہیں کرتی,negative
Easypaisa ki app update karne mein masla hota hai,neutral
"Easypaisa account ka OTP nahi aa rha, login nahi ho pa raha",negative
یوٹیوب پر اشتہارات بہت زیادہ آ رہے ہیں اور کھل ہی نہیں رہے,negative
سندھ پبلک سروس کمیشن کی ویب سائٹ ہمیشہ سلو لوڈ ہوتی ہے,negative
TikTok par videos ki quality theek hai,neutral
"Daraz ne return request reject kar di hai, product me defect tha",negative
WhatsApp par status updates aate rehte hain,neutral
ایزی پیسہ سے قرض بھی ملتا ہے,neutral
ایزی پیسہ میں پیسے ٹرانسفر کرنے کے بعد کٹ گئے مگر نہیں پہنچے,negative
iPhone battery life disappointing hai heavy usage ke sath,negative
کریم ڈرائیور نے کسٹمر کو کال کی,neutral
OLX par ek purani watch ka ad post hua tha,neutral
"Daraz se headphones mangwaye thay, aik side chal nahi rahi he",negative
Etsy seller response message inbox mein tha,neutral
"OLX pe fake ads bohot hotay hain, waqt barbad ho gaya",negative
فوڈ پانڈا میں ریسٹورنٹ کی ریٹنگ بالکل غلط لگ رہی تھی,negative
JazzCash app mein utility bill payment ka option hai,neutral
Postmark template testing feature sandbox environment mein available hai,neutral
Bykea ka fare cash aur wallet dono options me tha,neutral
فوڈ پانڈا نے ریسٹورنٹ کی تصاویر میں فرق تھا اصل سے,negative
دراز پر ایک ہی چیز کی کئی قسمیں موجود ہیں,neutral
Zoom meeting invite link email mein forward kia,neutral
FoodPanda ka delivery charge location par depend karta hai,neutral
"K-Electric ki bill correction ke liye gaya tha, par koi sunwai nahi hui",negative
فوڈ پانڈا پر ڈیلیوری چارجز لگتے ہیں,neutral
اولیکس میں موبائل کی کنڈیشن کی تفصیل تھی,neutral
YouTube ki recommended list me repeat videos theen,neutral
JazzCash app login kabhi OTP required hota hai kabhi nahi,neutral
K-Electric ka bill pay krne ki deadline a rahi hai,neutral
UBL ki app par account details update ho gayi,neutral
ایزی پیسہ میں اکاؤنٹ ایکٹو ہونے میں وقت لگتا ہے,neutral
"K-Electric ne meter reading galat bheji hai, ab bill zyada aa rha hai",negative
Spotify songs skip ho jate hain premium subscription ke baghair,negative
سوئی گیس کنکشن کی درخواست کی صورتحال چیک کی,neutral
Bykea driver ne call karke route confirm kiya,neutral
دراز پر فروخت ہونے والی چیزیں اوسط ہیں,neutral
ان ڈرائیو میں ٹرپ کی تاریخ اور وقت محفوظ ہے,neutral
فوڈ پانڈا پر ریسٹورنٹ لسٹ لمبی تھی,neutral
یو بی ایل کے اکاؤنٹ میں 50000 روپے کا بیلنس ہے,neutral
کے الیکٹرک کے افسران کا رویہ بہت بدتمیزی والا تھا,negative
داراز پر ایک پروڈکٹ کی ریٹنگ دیکھی جا رہی تھی,neutral
Bykea ka fare unnecessarily zyada aa gaya,negative
Signal message encryption automatically enable rehta hai,neutral
دراز کی ویب سائٹ پر سرچ فیچر استعمال کیا,neutral
Snapchat filters daily update hote rehte hain,neutral
Sony headphones sound quality expected se kam hai bass mein,negative
InDrive par ek ride ka fare 350 rupay select hua,neutral
Daraz tracking ka status kal update hua tha,neutral
سوئی گیس میٹر کی ریڈنگ کی تصدیق کی گئی,neutral
جاز کیش میں لوڈ کرنے کے مختلف طریقے ہیں,neutral
"OLX pe seller ne kaha k mobile theek hai, par wo to kharab tha",negative
Bykea ki app me language option available hai,neutral
کے الیکٹرک کا بل آن لائن جمع کرنے میں مسئلہ ہو رہا ہے,negative
جاز کمپنی کا کال سینٹر ہمیشہ لانگ کیو میں رکھتا ہے,negative
واٹس ایپ بزنس میں کیٹلاگ اپ لوڈ کرنے میں بار بار ایرر آیا,negative
ٹک ٹاک پر پرانی ویڈیو دوبارہ سامنے آئی,neutral
OLX app logout option settings me hai,neutral
ایزی پیسہ سے موبائل نمبر پر پیسے بھیجے گئے,neutral
ایزی پیسہ میں ماہانہ اسٹیٹمنٹ ڈاؤن لوڈ کی,neutral
واٹس ایپ میں بیک اپ لینے میں بہت زیادہ وقت لگ رہا ہے,negative
فوڈ پانڈا کے ریٹ مینو میں دیکھے تھے,neutral
واٹس ایپ کا والپیپر اپلائی کرنے کے بعد ایپ کی رفتار سست ہو گئی,negative
جاز کیش پر یوٹیلیٹی بل کی ادائیگی ہوتی ہے,neutral
Edge browser compatibility issues hain certain websites ke sath,negative
فوڈ پانڈا کا ڈیلیوری ٹائم بہت زیادہ اور کھانا بھی بے ذائقہ تھا,negative
کریم کا پرومو کوڈ استعمال نہیں ہو سکا,neutral
Uber surge pricing bahut zyada ho jati hai peak hours mein,negative
Xiaomi security app scan complete ho gaya,neutral
JazzCash app mein account balance zero tha,neutral
یوٹیوب میں کمنٹ کو پن کرنے کا فیچر ہے,neutral
بائیکا ڈرائیور نے میسج پر جواب دیا,neutral
ٹیلی نار کا پیکیج ایکٹیویٹ کرنے میں کئی بار کوشش کرنی پڑی,negative
ان ڈرائیو پر زیادہ تر ڈرائیورز نئے ہیں,neutral
Careem ka corporate account login kia gaya,neutral
SNGPL ka gas bill online portal par daikha gaya,neutral
جاز کیش سے موبائل کا بل ادا کیا گیا,neutral
ایزی پیسہ کا کسٹمر سپورٹ ای میل کا جواب دو ہفتے بعد آیا,negative
چیٹئی میں ریستوران کا لوکیشن میپ پر دکھایا گیا,neutral
Vertical Response survey tool integration test kia recently,neutral
"InDrive pe driver ne pehle accept kia, phir cancel kr diya",negative
داراز ایپ پر آرڈر منسوخ کرنے کا اختیار تھا,neutral
ایزی پیسہ اکاؤنٹ سے بینک اکاؤنٹ میں 1000 روپے بھیجے گئے,neutral
YouTube search results me kabhi repeat videos hoti hain,neutral
TikTok follow requests aj approve kar di,neutral
FoodPanda par delivery boys ki rating bhi hoti hai,neutral
OLX chat option se buyer se baat ho gayi,neutral
ایچ بی ایل موبائل بینکنگ میں او ٹی پی نہیں آ رہا اور ٹرانزیکشن رک گئی,negative
YouTube par channel subscribe kar sakte hain,neutral
پی ایس او گیس کمپنی کا کنکشن ملنے میں مہینوں لگ رہے ہیں,negative
اولکس پر آج زیادہ اشتہار دکھائی دے رہے تھے,neutral
Bykea ka rating system ride ke baad show hota hai,neutral
کریم کی ایپ میں نقشہ صاف دکھائی دیتا ہے,neutral
PTCL ki website par bill amount show ho raha hai,neutral
ActiveCampaign reporting dashboard complicated hai data interpretation ke liye,negative
Careem ride ka OTP driver ko share kia gaya,neutral
"JazzCash se paisa transfer kiya, lekin account block ho gaya hai",negative
Slack workspace notification settings customize kiye hain,neutral
GetResponse customer support response delayed hai query resolution mein,negative
بلوچستان ایجوکیشن ڈپارٹمنٹ کی سائٹ پر اسکالرشپ کی تفصیل نہیں,negative
اسٹینڈرڈ چارٹرڈ بینک کی ایپ میں لاگ ان کرنے میں مسئلہ,negative
InDrive mein price kam karne ki koshish hoti hai,neutral
یوٹیوب پر وائی فائی کنکشن کے باوجود ویڈیو بفر ہوتی رہی,negative
"Bykea ka rider pehle man gaya phir bola k door he, ab koi aur bhi nahi mil raha",negative
Bykea ka rate barish mein barh jata hai,neutral
سیہت کارڈ کی ایپ میں ڈاکٹر کی اپائنٹمنٹ بک نہیں ہو رہی,negative
کریم میں مختلف قسم کی گاڑیوں کا انتخاب ہے,neutral
JazzCash ka daily limit alert aj aya tha,neutral
Easypaisa app mein aik naya feature introduce hua hai,neutral
ان ڈرائیو میں زیادہ تر پرانی گاڑیاں ہیں,neutral
Careem ka chat option kabhi fast hota hai kabhi slow,neutral
کریم کا کرایہ دن کے حساب سے مختلف تھا,neutral
Nokia phone contacts export feature use kia hai,neutral
Mozilla Firefox bookmark sync feature enable kia,neutral
Careem ki ride cancel bhi ho jati hai,neutral
پی ٹی سی ایل کا انٹرنیٹ کنکشن کبھی کبھی سست ہوتا ہے,neutral
JazzCash se bank transfer bhi ho sakta hai,neutral
کریم پول میں شریک ہونے کے باوجود گاڑی نہیں آئی,negative
ایزی پیسہ کا لاگ ان پاسورڈ تبدیل کرنا پڑا,neutral
پنجاب مہر پروگرام کی آن لائن اپلیکیشن میں ایرر آ رہا ہے,negative
Daraz ki parcel tracking app par update ho gai,neutral
SNGPL ka bill 800 rupay ka tha,neutral
کریم کا کرایہ مختلف وقتوں میں مختلف ہوتا ہے,neutral
دراز پر چیزوں کے ریویو نظر آتے ہیں,neutral
"InDrive pe driver ne ajeeb jaga utara, bola k aage rasta band he",negative
واریڈ کمپنی کا انٹرنیٹ پیکیج لمٹ ختم ہونے سے پہلے ہی سست,negative
"Daraz pe jo parcel aya wo damaged tha, ab refund nahi mil raha",negative
ڈراز سے خریدا گیا فون چارجر ایک دن میں خراب ہو گیا,negative
ان ڈرائیو میں مختلف گاڑیوں کے آپشن ہیں,neutral
Instagram story upload karne ka option available hai,neutral
Bank Alfalah app se transaction history download kari,neutral
Careem mein location drop karna mushkil hota hai,neutral
IMO video call quality network speed pe depend karta hai,neutral
JazzCash ka login kabhi kabhi slow hota hai,neutral
YouTube Shorts bhi TikTok ki tarah hain,neutral
JazzCash ka login kabhi kabhi slow ho jata hai,neutral
Motorola phone software bugs hain calling feature mein,negative
FoodPanda par delivery time show hota hai,neutral
دراز کا ڈیلیوری ٹائم کبھی زیادہ ہوتا ہے,neutral
Bykea ka rider kal se call kar rha hai lekin location pe nahi aa rha,negative
ایس جی سی کا گیس کنکشن لگانے کا وقت بہت زیادہ لگا,negative
یوٹیوب پر ویڈیوز بہت زیادہ ہیں,neutral
Careem ki car types different hain,neutral
PTCL ki website par bill ki duplicate copy download ki,neutral
"Daraz se jo product mangwaya tha wo copy nikla, original nahi tha",negative
JazzCash se bills pay karne par fees lagti hai,neutral
InDrive par driver ka choice hota hai,neutral
Google Pay transaction receipt email mein save hai,neutral
JazzCash account me OTP code thoda late aya tha,neutral
دراذ پر کل رات ڈلیوری کنفرم ہوئی,neutral
فوڈ پانڈا پر کم از کم آرڈر کی حد ہوتی ہے,neutral
TikTok videos low quality hain aur content boring hai,negative
ٹک ٹاک پر ویڈیو کے ویوز کی تعداد دیکھی,neutral
ایزی پیسہ ایجنٹ نے کمیشن زیادہ کاٹا اور کوئی رسید نہیں دی,negative
Meezan Bank app par login attempts show ho rahe the,neutral
"Bykea ka rider ajeeb raaste se le ke gaya, waqt barbad kar diya",negative
کے الیکٹرک کا بل 3000 روپے کا تھا,neutral
WhatsApp backup restore nahi ho raha bar bar try kia,negative
Mad Mimi feature set limited hai advanced email marketing ke liye,negative
OLX par used bikes bhi bikti hain,neutral
سندھ بلڈنگ کنٹرول اتھارٹی کی آن لائن اپلیکیشن جمع نہیں ہو رہی,negative
کے الیکٹرک کی لوڈ شیڈنگ کی معلومات ملیں,neutral
بائیکیا کی سروس کے اوقات کار مقرر ہیں,neutral
"Easypaisa se payment ki thi, par transaction fail ho gayi aur paise bhi kat gaye",negative
بائیکیا کا ڈرائیور راستہ پوچھ رہا ہے,neutral
فوڈ پانڈا کا آرڈر کینسل ہونے کے بعد ریفنڈ کا عمل بہت سست,negative
ٹک ٹاک پر ویڈیو آٹو پلے ہو رہی تھی,neutral
دراز پر مفت ڈلیوری شاید ہی ملتی ہے,neutral
ایزی پیسہ میں ایزی لوڈ کا آپشن ہے,neutral
بائیکیا سواری نے جی-10 سے ایف-8 کا راستہ لیا,neutral
Viber call quality distorted hai international calls mein,negative
ایزی پیسہ کا موبائل ایپ اپ ڈیٹ ہو گیا,neutral
ایزی پیسہ شاپ میں کیش آؤٹ کرنے میں اضافی چارجز لگائے گئے,negative
TikTok par ads har teesre video ke baad aate hain,neutral
دراذ کا پروڈکٹ لسٹ میں موجود تھا,neutral
کریم کی سواری کا او ٹی پی ڈرائیور سے شیئر کیا گیا,neutral
ٹک ٹاک پر کئی لوگ ناچ رہے تھے,neutral
ان ڈرائیو میں ڈرائیور اور مسافر دونوں آپشن ہوتے ہیں,neutral
Vivo phone software update notification aya tha,neutral
Mailgun pricing calculation complex hai usage based billing ke sath,negative
JazzCash ka QR code payment hai,neutral
جاز کیش سے موبائل نمبر پر رقم بھیجی گئی تھی,neutral
Careem driver ne mask pehna hua tha ride me,neutral
دراز پر پروڈکٹ کی تفصیلات موجود ہیں,neutral
پی ٹی سی ایل کے آفس کا پتہ ویب سائٹ پر ملا,neutral
دبئی اسلامک بینک کا انٹرنیٹ بینکنگ لاگ ان کرنے میں سیکیورٹی ایشو,negative
iPhone battery health percentage check kia recently,neutral
بائیکیا پر ڈرائیور آپ کو واپس کال کرتا ہے,neutral
YouTube par subtitles kabhi accurate hoti hain kabhi nahi,neutral
Easypaisa ki app update aati rehti hai,neutral
Mailjet delivery rate statistics dashboard mein visible hain,neutral
SNGPL ki website par bill history dekhi gayi,neutral
Careem ki gariyan alag alag models ki hoti hain,neutral
Sui Gas ka bilal me 3 bar meter reading galat ayi hai,negative
Bykea ka driver rating system hai,neutral
Noon delivery packaging poor tha product damaged aya,negative
InDrive mein driver accept karne ka wait karna parta hai,neutral
فوڈ پانڈا کا کسٹمر سپورٹ نمبر ہمیشہ آٹومیٹک میسج دیتا ہے,negative
اولیکس پر موبائل فون کی لسٹنگ دیکھی,neutral
جاز کیش میں آئی بی اے ایف ٹی کرتے وقت ٹرانزیکشن پینڈنگ رہ گئی,negative
چیٹئی سے آرڈر کی کنفرمیشن آئی,neutral
Bykea ka driver kabhi kabhi late ho jata hai,neutral
ان ڈرائیو کی سبسکرپشن خریدنے کے باوجود اشتہارات آتے ہیں,negative
Netflix buffering issue hai slow internet connection pe,negative
Line sticker download failed multiple attempts ke baad bhi,negative
Skype contact list update automatically ho jata hai,neutral
کریم میں منزل کا پتہ تبدیل کیا جا سکتا ہے,neutral
Bykea mein drivers ki availability kam hoti hai,neutral
کریم کی ڈرائیور کا رابطہ نہیں ہو رہا ہے,neutral
WhatsApp par video call ka option hai,neutral
LG TV remote app phone pe install kia,neutral
Meezan Bank ki app par loan ki detail show ho rahi thi,neutral
Constant Contact subscriber import process time consuming hai,negative
میزان بینک کی ایپ پر لاگ ان کی کوشش کی گئی,neutral
InDrive pe driver ne pehle accept kia phir kaha traffic bohot hai,negative
کے الیکٹرک کے عملے نے میٹر تبدیل کرنے میں بہت دیر لگائی,negative
بائیکیا کا ڈرائیور لیٹ آیا ہے,neutral
Bykea par drivers kaafi busy rehte hain,neutral
Gmail spam filter ineffective hai unwanted emails aa jate hain,negative
HP printer ink cartridge expensive hai replacement cost high,negative
بائیکیا کی بکنگ فوراً ہو گئی ہے,neutral
ان ڈرائیو کے کپتان مؤدب اور پیشہ ور ہوتے ہیں,neutral
ایس این جی پی ایل کا بل آن لائن پے کرنے میں سائٹ ہینگ ہو گئی,negative
اولیکس پر اکاؤنٹ ویریفائی کرنے کا پیغام موصول ہوا,neutral
Telenor balance inquiry ke liye code dial kia,neutral
InDrive mein rate negotiation hoti hai,neutral
InDrive driver ne ride complete hone ki request send ki,neutral
HP printer driver download website se kia tha,neutral
Bykea ka rate barh jata hai rush hour mein,neutral
K-Electric ka bill galat generate hota hai frequently,negative
Daraz delivery late hui aur product bhi low quality nikla,negative
TikTok videos me kabhi background sound high hoti hai,neutral
Bykea rider ne Gulberg se Defence tak ka route liya,neutral
ActiveCampaign automation workflow confusing hai setup karne ke liye,negative
"Careem ka GPS sahi kaam nahi kr raha, har baar address ghalat show krta hai",negative
ان ڈرائیو کے ڈرائیور کا فون نمبر ایپ میں دکھایا جاتا ہے,neutral
کراچی واٹر اینڈ سیوریج بورڈ کا آن لائن بل کنفیرم نہیں ہوا,negative
دراز سے خریدا گیا لیپ ٹاپ چارجر اصل برانڈ کا نہیں تھا,negative
پی ٹی سی ایل کا بل ویب سائٹ پر دستیاب ہے,neutral
بائیکیا کی بائیک والے نے محفوظ طریقے سے سفر کرایا,neutral
InDrive par ride ka fare pehle se pata hota hai,neutral
OLX ka interface ajkal thoda change hua hai,neutral
یوٹیوب کی نوٹیفکیشن سیٹنگ کام نہیں کر رہی ٹھیک سے,negative
دراز کی ایپ میں نوٹیفکیشن کی سیٹنگ دیکھی,neutral
کے الیکٹرک کی پیمنٹ آن لائن کی گئی,neutral
کریم ڈرائیور نے کار کی حالت بہت خراب تھی اور صفائی نہیں تھی,negative
ایزی پیسہ کا لاگ ان کچھ سست ہے,neutral
آر پی جی سی ایل کا گیس پریشر کم ہونے کی شکایت کا کوئی حل نہیں,negative
اولیکس میں سرچ فلٹر کا استعمال کیا گیا,neutral
Shopify store setup process step by step guide hai,neutral
سوئی گیس میٹر کی تبدیلی کی درخواست دی گئی,neutral
بائیکیا کی سروس کا استعمال کیا گیا,neutral
فوڈ پانڈا میں ویجیٹیرین کھانے کا الگ سیکشن ہے,neutral
ان ڈرائیو میں ڈرائیور کی ratings دیکھی جا سکتی ہے,neutral
Careem ride start hone se pehle otp dalna parta hai,neutral
بائیکا کی سواری کچھ دیر بعد ملی,neutral
بائیکیا کا ڈرائیور ہیلمٹ نہیں پہن رہا تھا اور ٹریفک رولز نہیں مان رہا,negative
K-Electric ka online bill portal maintenance par tha,neutral
Constant Contact event management feature explore kia hai,neutral
یوٹیوب چینل کو سبسکرائب کرنے کا آپشن ہے,neutral
Daraz par product ki description hoti hai,neutral
یوٹیوب کا آٹو پلے فیچر کبھی کبھی کام نہیں کرتا,negative
Microsoft Office subscription auto renewal notification late aya,negative
Discord server invite link share karne ka feature hai,neutral
دراز کا ریٹرن پالیسی بہت پیچیدہ اور وقت طلب ہے,negative
بائیکا ایپ کا نقشہ صحیح دکھا رہا تھا,neutral
WhatsApp par photos compressed hoti hain,neutral
Zong customer support response bilkul disappointing tha,negative
ایزی پیسہ کے واؤچر کل استعمال ہوئے,neutral
ان ڈرائیو کی ڈاؤن لوڈ اسپیڈ بہت سست اور مہنگی ہے,negative
یوٹیوب میں ویڈیو کی کوالٹی خودکار کم ہو جاتی ہے,negative
"JazzCash ka customer support bohot hi bekaar hai, sirf rulaate rehte hain",negative
کریم کے رائیڈ اسٹوری میں اوقات لکھے تھے,neutral
"K-Electric ne bill pe extra charges laga diye hain, helpline b jawab nahi deti",negative
eBay auction ending time notification aya tha,neutral
TikTok par challenges chaltay rehtay hain,neutral
کریم کی ایپ پرانے ماڈل کی لگتی ہے,neutral
FoodPanda par restaurant ka menu dekhna hota hai,neutral
بائیکیا رائیڈ کے دوران موٹر سائیکل میں تکنیکی خرابی آئی,negative
